mes,BAA10Y,NFCI,z_baa10y_fechado,z_nfci_fechado,mudanca_regime
2000-08,2.51,-0.196,0.6169308445919138,0.9007812840919691,0
2000-09,2.54,-0.193,1.203091956546265,0.47220639483131244,1
2000-10,2.56,-0.164,1.2206662774081862,0.4450024554502886,0
2000-11,2.64,-0.1,1.2101581873590328,0.5462769089677687,0
2000-12,2.88,-0.081,1.3663969671923013,0.8131639558285123,0
2001-01,2.62,-0.218,1.9195617279759492,0.8574644107451829,0
2001-02,2.88,-0.272,1.133485008875978,0.12762196179806518,0
2001-03,3.04,-0.247,1.7548397969989153,-0.22137770631544668,0
2001-04,2.73,-0.328,2.04454671300085,-0.15182512592304456,0
2001-05,2.65,-0.42,1.1466880778381114,-0.7387201272036489,0
2001-06,2.65,-0.459,0.883531869183115,-1.436941990611786,0
2001-07,2.78,-0.499,0.8460161320863142,-1.7920254140826422,0
2001-08,2.9,-0.43,1.208359690364841,-2.0877921191280913,0
2001-09,3.42,-0.335,1.4972980779436542,-1.5275453400572916,0
2001-10,3.38,-0.38,2.7270910956547496,-0.8188265545243752,0
2001-11,3.1,-0.369,2.3509715374403553,-1.080148730473423,0
2001-12,2.85,-0.366,1.523643743597058,-0.9475906086973301,0
2002-01,2.85,-0.461,0.8700890153958553,-0.8818645386067663,0
2002-02,2.98,-0.491,0.8407846397365487,-1.4669000143667086,0
2002-03,2.81,-0.501,1.096177939344538,-1.5947203177447027,0
2002-04,2.84,-0.579,0.6493188004571374,-1.6039178965500342,0
2002-05,2.98,-0.625,0.6816193506706937,-1.991631493796406,0
2002-06,3.13,-0.537,0.9655869872845292,-2.1095984558995258,0
2002-07,3.25,-0.438,1.2525315959161953,-1.5115472181952188,0
2002-08,3.32,-0.378,1.445067204791372,-0.9065295236553593,0
2002-09,3.76,-0.325,1.5068974793587537,-0.5368483873194309,0
2002-10,3.82,-0.355,2.2624545235185884,-0.20659484528896138,0
2002-11,3.38,-0.425,2.1626162373549542,-0.34279911196590385,0
2002-12,3.48,-0.443,1.2117792626891493,-0.7068001509889055,0
2003-01,3.16,-0.497,1.3788265714711991,-0.7670464315107557,0
2003-02,3.21,-0.512,0.6630805064774008,-1.0231574914108914,0
2003-03,3.04,-0.563,0.7498199295567846,-1.0491548350654138,0
2003-04,2.76,-0.658,0.27568580346433114,-1.2700195435686374,1
2003-05,2.85,-0.688,-0.5089726576854297,-1.7217702228323493,0
2003-06,2.81,-0.689,-0.29443339614360275,-1.8315334927654874,0
2003-07,2.58,-0.686,-0.4518068889932097,-1.7824418954988606,0
2003-08,2.46,-0.642,-1.184476526872981,-1.674071201227615,0
2003-09,2.57,-0.654,-1.5296026216193939,-1.327711830653026,0
2003-10,2.36,-0.688,-1.209042646225439,-1.3290113508625565,0
2003-11,2.33,-0.687,-1.7729476330448248,-1.4668014544274848,0
2003-12,2.34,-0.695,-1.7724716502068736,-1.4241287608700597,0
2004-01,2.19,-0.761,-1.6352870407203044,-1.4692084243903756,0
2004-02,2.21,-0.791,-1.917934490789677,-1.8367583942962988,0
2004-03,2.29,-0.779,-1.7365180606601018,-1.9161636447574237,0
2004-04,2.05,-0.714,-1.4440944680574284,-1.7435198723653156,0
2004-05,2.03,-0.669,-1.8718630388409059,-1.2207360835171197,0
2004-06,2.09,-0.66,-1.7940578825036821,-0.8521526299120379,0
2004-07,2.1,-0.669,-1.574725820373004,-0.7468332686629763,0
2004-08,2.19,-0.674,-1.4661066696753382,-0.772116188737347,0
2004-09,2.11,-0.671,-1.21709296297025,-0.7624524836110186,0
2004-10,2.09,-0.678,-1.2993413018519435,-0.6983650813777662,0
